Region;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
RK;4851538;4934093;5029542;5150784;5297277;5460086;5624555;5784552;5944304;6110465;6295590;6617000;6738017
ABAY;;;;;;;;;;;;186790;188599
AKM;195385;194678;194694;195726;196310;199575;196956;201847;204468;205736;206603;223606;223951
AKT;225938;227124;230650;236549;244227;252884;261241;270167;279070;289000;299873;318565;325473
ALMO;576906;589354;603957;621293;618279;638491;668697;693883;713049;732169;753539;530377;544506
ATR;180011;185088;190395;197151;204750;212760;220884;228960;237167;244722;253333;262387;269592
ZKO;165125;165780;167035;170179;174089;178718;182762;188040;193433;198503;203852;211751;215129
ZHM;365031;370820;377676;386186;396373;407278;414727;419948;427388;433070;442276;457058;463618
ZHT;;;;;;;;;;;;241220;244667
KRG;343790;346206;348506;352791;358588;364933;368194;371724;375503;380118;385324;316473;317682
KST;203081;201681;201547;202003;203228;205275;205593;206141;206555;206490;206996;209313;208302
KZL;254938;259346;263988;269379;275607;282543;287218;293665;300223;306141;315081;323035;330718
MGT;186926;195284;204335;214243;224547;235868;245313;255957;266615;278347;291145;310483;320939
PVL;178195;178756;180263;182825;185856;189592;191829;194042;196449;199123;201681;205518;205745
SKO;139044;137677;136692;136324;136068;136495;136235;136279;135793;134969;134454;129590;128365
TRK;1012086;1034672;1057082;1080266;1108606;1140853;831998;841032;852684;869454;889872;899220;917511
ULT;;;;;;;;;;;;73370;74749
VKO;336427;336399;337181;339765;344230;350109;353636;357765;361336;364246;369062;183222;183675
AST;164661;179539;194605;213282;233662;250572;287636;311611;336230;363388;386826;412307;428577
ALM;314475;322199;331963;344785;384871;406190;425031;446219;470466;499471;527739;638452;647261
SHM;;;;;;;335881;356551;377836;394439;416280;469089;483033
