2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
362 573;367 944;376 669;383 359;396 012;395 272;397 737;387 659;394 539;398 743;423 528;442 301;401 058
350 152;361 881;367 042;375 860;382 411;395 039;394 204;396 709;386 798;393 859;398 191;423 877;441 517
346 806;350 079;361 604;366 737;375 224;381 830;394 324;393 422;396 110;385 934;393 346;399 206;423 451
306 158;346 866;349 937;361 390;366 379;374 732;381 145;393 555;392 639;395 332;385 420;394 707;398 726
289 460;306 259;346 687;349 734;361 009;365 899;374 067;380 467;392 822;391 839;394 875;386 985;394 200
270 339;289 500;306 126;346 487;349 317;360 593;365 297;373 337;379 720;391 996;391 311;397 086;386 460
267 068;270 327;289 346;306 009;346 109;348 874;359 903;364 605;372 560;378 862;391 509;394 039;396 499
245 596;267 073;270 150;289 147;305 614;345 634;348 227;359 165;363 849;371 664;378 337;395 116;393 396
233 271;245 611;266 941;270 010;288 844;305 261;345 027;347 617;358 459;363 016;371 182;383 375;394 508
222 208;233 287;245 452;266 772;269 697;288 454;304 669;344 361;346 758;357 659;362 542;376 444;382 718
224 525;222 141;233 141;245 304;266 469;269 314;287 970;304 014;343 518;346 031;357 205;369 450;375 825
218 270;224 526;222 035;232 999;244 984;266 084;268 811;287 412;303 273;342 642;345 553;364 566;368 734
224 379;218 288;224 387;221 890;232 711;244 648;265 578;268 317;286 654;302 525;342 211;355 663;363 833
225 711;224 440;218 153;224 260;221 638;232 406;244 217;265 112;267 667;285 972;302 082;360 127;354 872
243 411;225 716;224 321;218 001;223 982;221 297;231 987;243 743;264 466;267 078;285 569;327 241;359 655
258 716;243 385;225 631;224 130;217 738;223 669;220 883;231 522;243 150;263 932;266 672;299 066;326 824
277 955;258 737;243 247;225 491;223 840;217 421;223 344;220 464;231 051;242 656;263 673;276 836;299 027
284 940;278 033;258 673;243 204;225 299;223 659;217 165;223 071;220 271;230 725;242 384;270 915;276 714
