Region;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
RK;563 086;609 780;626 740;627 163;637 217;651 924;662 544;680 025;695 253;695 131;696 825;711 786
Abay;;;;;;;;;;;;24 272
Akmol;26 298;28 193;28 470;28 003;28 221;28 637;28 821;29 200;29 059;28 798;29 073;28 948
Aktiub;19 667;21 451;22 181;22 256;22 909;24 040;25 008;25 962;27 044;27 401;27 694;28 618
Almat;62 919;69 584;71 144;70 282;69 968;68 248;67 280;68 259;68 775;67 251;67 237;43 668
Atyr;16 268;17 554;18 301;18 888;19 438;20 239;21 003;21 748;22 886;23 066;23 679;24 446
Zap-K;23 547;25 019;25 408;24 753;24 201;24 036;23 684;24 023;24 401;24 272;24 213;24 351
Zham;36 021;38 375;39 622;40 365;41 377;42 570;43 301;44 679;45 880;45 805;45 777;45 426
Zheti;;;;;;;;;;;;24 364
Karag;56 994;61 704;63 385;62 239;63 102;64 329;65 552;66 845;67 763;67 384;67 795;56 106
Kost;24 423;26 310;27 022;26 907;27 399;27 676;27 831;28 013;28 177;27 809;28 092;28 167
Kyzyl;24 137;26 517;27 117;27 304;27 999;29 151;29 234;29 751;30 115;30 570;31 345;32 012
Mangis;15 215;17 440;18 512;19 661;20 703;22 358;23 708;25 545;27 715;28 569;29 194;30 642
Pavlod;26 701;29 092;29 591;28 410;28 292;28 061;27 699;27 915;27 965;27 868;27 824;28 246
Sev-K;27 388;29 117;29 402;28 747;28 542;28 194;27 397;27 268;26 944;26 432;26 100;25 124
Turkes**;93 110;101 944;106 244;108 547;112 292;117 392;121 663;91 001;94 128;95 808;97 619;96 783
Ulytau;;;;;;;;;;;;11 430
Vos-K;54 730;57 560;58 165;57 124;57 073;57 080;56 704;56 920;56 543;54 905;54 838;30 018
Ast;14 605;17 313;18 666;19 481;20 265;21 946;24 148;25 719;27 518;28 607;26 730;32 182
Alm;41 063;42 607;43 510;44 196;45 436;47 967;49 511;51 679;53 706;53 900;52 438;56 956
Shym;;;;;;;;35 498;36 634;36 686;37 177;40 027
